MR	NumUP	NumDN	Index_maVitro	Index_maVivo	Index_hmVitro	Index_hmVivo	Index_Focused
RPL7L1	1	0	1	0	1	1	1
SNX6	2	0	0	0	0	0	0
EED	1	0	0	0	0	0	0
YWHAG	2	0	0	0	0	0	0
BAG1	1	0	0	0	0	0	0
STYXL1	5	0	0	0	0	0	0
PIK3CG	1	0	0	1	0	1	1
NFXL1	1	0	0	0	0	0	0
BID	2	0	0	0	0	0	0
RNF20	2	0	0	0	0	0	0
RASA1	1	0	0	0	0	0	0
POT1	1	0	0	0	0	0	0
ZDHHC6	2	0	0	0	0	0	0
CLOCK	2	0	0	0	0	0	1
ADIPOR2	3	0	1	0	1	1	1
FLI1	1	0	1	0	1	1	1
VPS25	2	0	1	1	1	1	1
ICMT	2	0	0	0	0	0	0
NIF3L1	1	0	0	0	0	0	0
SS18	1	0	1	0	1	1	1
MSH2	1	0	0	0	0	0	0
RALB	2	0	0	0	0	0	0
NRBF2	1	0	0	0	0	0	0
TIPIN	1	0	1	1	1	1	1
DFFA	3	0	0	0	0	0	0
PRKAG1	3	0	0	0	0	0	0
IRAK4	1	0	0	0	0	0	0
PBRM1	1	0	0	0	1	1	1
SARNP	3	0	0	0	0	0	0
PHF20	1	0	0	0	0	0	0
SRPK2	1	0	0	0	0	0	0
ATF6	1	0	0	0	0	0	0
RB1	3	0	0	0	0	0	0
ZKSCAN5	1	0	0	0	0	0	0
BTK	2	0	0	0	0	0	0
EPC2	1	0	1	1	0	0	1
EAF2	3	0	0	0	0	0	0
ARHGEF9	1	0	0	0	0	0	0
SMC1A	2	0	0	0	0	0	0
CLTC	1	0	0	0	0	0	0
ZDHHC16	3	0	0	0	0	0	0
TTL	2	0	0	0	0	0	0
RSU1	2	0	0	0	0	0	0
OPN3	4	0	0	0	0	0	0
APPL1	1	0	0	0	0	0	0
RAB11A	1	0	0	0	0	0	0
TRIM5	1	0	0	0	0	0	0
WDR12	1	0	0	0	0	0	0
ATIC	3	0	0	0	0	0	0
RUVBL1	3	0	0	0	0	0	0
NFE2L1	1	0	0	0	0	0	0
TAOK3	2	0	0	0	0	0	0
PLEKHM3	1	0	0	0	0	0	0
EID1	3	0	0	0	0	0	0
PLRG1	1	0	0	0	0	0	0
RAB33B	1	0	0	0	0	0	0
ENDOG	3	0	0	0	0	0	0
MLH1	1	0	0	0	0	0	0
SMAD4	1	0	0	0	0	0	0
ASH2L	1	0	1	1	1	1	1
STK39	1	0	0	0	0	0	0
EIF2AK4	4	0	0	0	0	0	0
TERF1	1	0	0	0	0	0	0
PTGES3	4	0	0	0	0	0	0
RGS18	1	0	0	0	0	0	0
RABIF	2	0	1	1	1	1	1
TADA2A	2	0	0	0	0	0	0
SUPT7L	1	0	0	0	0	0	0
NMRAL1	4	0	0	0	0	0	0
AIDA	1	0	0	0	0	0	0
CARF	1	0	0	0	0	0	0
ZCCHC7	1	0	0	0	0	0	0
INPP1	2	0	0	0	0	0	0
RAC2	1	0	0	0	0	0	0
IPO7	3	0	0	0	0	0	0
BAX	3	0	0	0	0	0	0
PRDM6	0	1	0	0	0	0	0
ASXL3	0	1	0	0	0	0	0
KREMEN2	0	2	0	0	0	0	0
ZNF836	0	1	0	0	0	0	0
PPP1R1B	0	1	0	0	0	0	0
GIPR	0	1	0	0	0	0	0
IL17C	0	2	0	0	0	0	0
ZNF578	0	1	0	0	0	0	0
PTH1R	0	2	0	0	0	0	0
SIX2	0	2	0	0	0	0	0
FOXN1	0	2	0	0	0	0	0
FOXR1	0	1	0	0	0	0	0
PROKR2	0	1	0	0	0	0	0
GCGR	0	1	0	0	0	0	0
CLEC4M	0	2	0	0	0	0	0
BAIAP3	0	2	0	0	0	0	1
DRD5	0	2	0	0	0	0	0
MIER2	0	2	0	0	0	0	0
HCRT	0	2	0	0	0	0	0
GHRH	0	1	0	0	0	0	0
KSR2	0	1	0	0	0	0	0
OR12D2	0	2	0	0	0	0	0
RGS11	0	1	0	0	0	0	0
ZNF771	0	1	0	0	0	0	0
GPR62	0	2	0	0	0	0	0
SOX14	0	1	0	0	0	0	0
